image_path,category,price,available
data\products\chair_9_1771054526575.jpg,chair,2750,True
data\products\headphones_0_1771054501377.jpg,headphones,3000,False
data\products\headphones_10_1771054503505.jpg,headphones,3250,True
data\products\headphones_11_1771054503563.jpg,headphones,3500,True
data\products\headphones_12_1771054503617.jpg,headphones,3750,True
data\products\headphones_13_1771054503706.jpg,headphones,4000,True
data\products\headphones_14_1771054504491.jpg,headphones,4250,False
data\products\headphones_15_1771054505054.jpg,headphones,4500,True
data\products\headphones_16_1771054505054.jpg,headphones,4750,True
data\products\headphones_17_1771054504694.jpg,headphones,5000,True
data\products\headphones_18_1771054504969.jpg,headphones,5250,True
data\products\headphones_19_1771054505716.jpg,headphones,500,False
data\products\headphones_1_1771054501724.jpg,headphones,750,True
data\products\headphones_20_1771054505683.jpg,headphones,1000,True
data\products\headphones_21_1771054506051.jpg,headphones,1250,True
data\products\headphones_22_1771054505848.jpg,headphones,1500,True
data\products\headphones_23_1771054506485.jpg,headphones,1750,False
data\products\headphones_24_1771054506850.jpg,headphones,2000,True
data\products\headphones_25_1771054506646.jpg,headphones,2250,True
data\products\headphones_26_1771054506900.jpg,headphones,2500,True
data\products\headphones_27_1771054507435.jpg,headphones,2750,True
data\products\headphones_28_1771054507609.jpg,headphones,3000,False
data\products\headphones_29_1771054507747.jpg,headphones,3250,True
data\products\headphones_2_1771054501523.jpg,headphones,3500,True
data\products\headphones_30_1771054508054.jpg,headphones,3750,True
data\products\headphones_31_1771054507902.jpg,headphones,4000,True
data\products\headphones_32_1771054508445.jpg,headphones,4250,False
data\products\headphones_33_1771054508398.jpg,headphones,4500,True
data\products\headphones_34_1771054508677.jpg,headphones,4750,True
data\products\headphones_35_1771054508939.jpg,headphones,5000,True
data\products\headphones_36_1771054509287.jpg,headphones,5250,True
data\products\headphones_37_1771054509740.jpg,headphones,500,False
data\products\headphones_38_1771054509524.jpg,headphones,750,True
data\products\headphones_39_1771054509915.jpg,headphones,1000,True
data\products\headphones_3_1771054501775.jpg,headphones,1250,True
data\products\headphones_40_1771054510289.jpg,headphones,1500,True
data\products\headphones_41_1771054510600.jpg,headphones,1750,False
data\products\headphones_42_1771054510558.jpg,headphones,2000,True
data\products\headphones_43_1771054511223.jpg,headphones,2250,True
data\products\headphones_44_1771054510959.jpg,headphones,2500,True
data\products\headphones_45_1771054511245.jpg,headphones,2750,True
data\products\headphones_46_1771054511451.jpg,headphones,3000,False
data\products\headphones_47_1771054511594.jpg,headphones,3250,True
data\products\headphones_48_1771054512015.jpg,headphones,3500,True
data\products\headphones_49_1771054512543.jpg,headphones,3750,True
data\products\headphones_4_1771054502512.jpg,headphones,4000,True
data\products\headphones_5_1771054502595.jpg,headphones,4250,False
data\products\headphones_6_1771054502588.jpg,headphones,4500,True
data\products\headphones_7_1771054502814.jpg,headphones,4750,True
data\products\headphones_8_1771054502718.jpg,headphones,5000,True
data\products\headphones_9_1771054503864.jpg,headphones,5250,True
data\products\lamp_0_1771054535750.jpg,lamp,500,False
data\products\lamp_10_1771054539072.jpg,lamp,750,True
data\products\lamp_11_1771054539398.jpg,lamp,1000,True
data\products\lamp_12_1771054540702.jpg,lamp,1250,True
data\products\lamp_13_1771054540905.jpg,lamp,1500,True
data\products\lamp_14_1771054540675.jpg,lamp,1750,False
data\products\lamp_15_1771054540457.jpg,lamp,2000,True
data\products\lamp_16_1771054540321.jpg,lamp,2250,True
data\products\lamp_17_1771054541679.jpg,lamp,2500,True
data\products\lamp_18_1771054541532.jpg,lamp,2750,True
data\products\lamp_19_1771054541510.jpg,lamp,3000,False
data\products\lamp_1_1771054535643.jpg,lamp,3250,True
data\products\lamp_20_1771054541540.jpg,lamp,3500,True
data\products\lamp_21_1771054542224.jpg,lamp,3750,True
data\products\lamp_22_1771054542807.jpg,lamp,4000,True
data\products\lamp_23_1771054542679.jpg,lamp,4250,False
data\products\lamp_24_1771054542894.jpg,lamp,4500,True
data\products\lamp_25_1771054543071.jpg,lamp,4750,True
data\products\lamp_26_1771054543339.jpg,lamp,5000,True
data\products\lamp_27_1771054543749.jpg,lamp,5250,True
data\products\lamp_28_1771054543888.jpg,lamp,500,False
data\products\lamp_29_1771054543689.jpg,lamp,750,True
data\products\lamp_2_1771054537044.jpg,lamp,1000,True
data\products\lamp_30_1771054543972.jpg,lamp,1250,True
data\products\lamp_31_1771054544463.jpg,lamp,1500,True
data\products\lamp_32_1771054544588.jpg,lamp,1750,False
data\products\lamp_33_1771054544740.jpg,lamp,2000,True
data\products\lamp_34_1771054544745.jpg,lamp,2250,True
data\products\lamp_35_1771054545355.jpg,lamp,2500,True
data\products\lamp_36_1771054545738.jpg,lamp,2750,True
data\products\lamp_37_1771054545486.jpg,lamp,3000,False
data\products\lamp_38_1771054545586.jpg,lamp,3250,True
data\products\lamp_39_1771054546052.jpg,lamp,3500,True
data\products\lamp_3_1771054537201.jpg,lamp,3750,True
data\products\lamp_40_1771054546486.jpg,lamp,4000,True
data\products\lamp_41_1771054546479.jpg,lamp,4250,False
data\products\lamp_42_1771054546488.jpg,lamp,4500,True
data\products\lamp_43_1771054546559.jpg,lamp,4750,True
data\products\lamp_44_1771054546921.jpg,lamp,5000,True
data\products\lamp_45_1771054547186.jpg,lamp,5250,True
data\products\lamp_46_1771054547402.jpg,lamp,500,False
data\products\lamp_47_1771054547587.jpg,lamp,750,True
data\products\lamp_48_1771054547453.jpg,lamp,1000,True
data\products\lamp_49_1771054547723.jpg,lamp,1250,True
data\products\lamp_4_1771054537575.jpg,lamp,1500,True
data\products\lamp_5_1771054537393.jpg,lamp,1750,False
data\products\lamp_6_1771054537955.jpg,lamp,2000,True
data\products\lamp_7_1771054539013.jpg,lamp,2250,True
data\products\lamp_8_1771054539193.jpg,lamp,2500,True
data\products\lamp_9_1771054539383.jpg,lamp,2750,True
data\products\laptop_0_1771054512224.jpg,laptop,3000,False
data\products\laptop_10_1771054514461.jpg,laptop,3250,True
data\products\laptop_11_1771054515179.jpg,laptop,3500,True
data\products\laptop_12_1771054516247.jpg,laptop,3750,True
data\products\laptop_13_1771054516279.jpg,laptop,4000,True
data\products\laptop_14_1771054516429.jpg,laptop,4250,False
data\products\laptop_15_1771054516239.jpg,laptop,4500,True
data\products\laptop_16_1771054516977.jpg,laptop,4750,True
data\products\laptop_17_1771054517191.jpg,laptop,5000,True
data\products\laptop_18_1771054517203.jpg,laptop,5250,True
data\products\laptop_19_1771054517242.jpg,laptop,500,False
data\products\laptop_1_1771054512895.jpg,laptop,750,True
data\products\laptop_20_1771054517829.jpg,laptop,1000,True
data\products\laptop_21_1771054517872.jpg,laptop,1250,True
data\products\laptop_22_1771054518238.jpg,laptop,1500,True
data\products\laptop_23_1771054518269.jpg,laptop,1750,False
data\products\laptop_24_1771054518185.jpg,laptop,2000,True
data\products\laptop_25_1771054518728.jpg,laptop,2250,True
data\products\laptop_26_1771054518781.jpg,laptop,2500,True
data\products\laptop_27_1771054519363.jpg,laptop,2750,True
data\products\laptop_28_1771054519401.jpg,laptop,3000,False
data\products\laptop_29_1771054519562.jpg,laptop,3250,True
data\products\laptop_2_1771054512479.jpg,laptop,3500,True
data\products\laptop_30_1771054519783.jpg,laptop,3750,True
data\products\laptop_31_1771054519894.jpg,laptop,4000,True
data\products\laptop_32_1771054520589.jpg,laptop,4250,False
data\products\laptop_33_1771054520836.jpg,laptop,4500,True
data\products\laptop_34_1771054521003.jpg,laptop,4750,True
data\products\laptop_35_1771054520960.jpg,laptop,5000,True
data\products\laptop_36_1771054520951.jpg,laptop,5250,True
data\products\laptop_37_1771054521551.jpg,laptop,500,False
data\products\laptop_38_1771054521928.jpg,laptop,750,True
data\products\laptop_39_1771054521838.jpg,laptop,1000,True
data\products\laptop_3_1771054513143.jpg,laptop,1250,True
data\products\laptop_40_1771054522053.jpg,laptop,1500,True
data\products\laptop_41_1771054522122.jpg,laptop,1750,False
data\products\laptop_42_1771054522967.jpg,laptop,2000,True
data\products\laptop_43_1771054522920.jpg,laptop,2250,True
data\products\laptop_44_1771054522741.jpg,laptop,2500,True
data\products\laptop_45_1771054523472.jpg,laptop,2750,True
data\products\laptop_46_1771054523256.jpg,laptop,3000,False
data\products\laptop_47_1771054523805.jpg,laptop,3250,True
data\products\laptop_48_1771054523942.jpg,laptop,3500,True
data\products\laptop_49_1771054523860.jpg,laptop,3750,True
data\products\laptop_4_1771054513158.jpg,laptop,4000,True
data\products\laptop_5_1771054513265.jpg,laptop,4250,False
data\products\laptop_6_1771054513735.jpg,laptop,4500,True
data\products\laptop_7_1771054514213.jpg,laptop,4750,True
data\products\laptop_8_1771054514450.jpg,laptop,5000,True
data\products\laptop_9_1771054514350.jpg,laptop,5250,True
data\products\shoes_0_1771054433710.jpg,shoes,500,False
data\products\shoes_10_1771054436225.jpg,shoes,750,True
data\products\shoes_11_1771054436354.jpg,shoes,1000,True
data\products\shoes_12_1771054437236.jpg,shoes,1250,True
data\products\shoes_13_1771054437521.jpg,shoes,1500,True
data\products\shoes_14_1771054437526.jpg,shoes,1750,False
data\products\shoes_15_1771054438154.jpg,shoes,2000,True
data\products\shoes_16_1771054437962.jpg,shoes,2250,True
data\products\shoes_17_1771054438449.jpg,shoes,2500,True
data\products\shoes_18_1771054438666.jpg,shoes,2750,True
data\products\shoes_19_1771054438885.jpg,shoes,3000,False
data\products\shoes_1_1771054433945.jpg,shoes,3250,True
data\products\shoes_20_1771054439814.jpg,shoes,3500,True
data\products\shoes_21_1771054438976.jpg,shoes,3750,True
data\products\shoes_22_1771054439983.jpg,shoes,4000,True
data\products\shoes_23_1771054440027.jpg,shoes,4250,False
data\products\shoes_24_1771054440614.jpg,shoes,4500,True
data\products\shoes_25_1771054440242.jpg,shoes,4750,True
data\products\shoes_26_1771054440779.jpg,shoes,5000,True
data\products\shoes_27_1771054441357.jpg,shoes,5250,True
data\products\shoes_28_1771054441329.jpg,shoes,500,False
data\products\shoes_29_1771054441357.jpg,shoes,750,True
data\products\shoes_2_1771054433472.jpg,shoes,1000,True
data\products\shoes_30_1771054441712.jpg,shoes,1250,True
data\products\shoes_31_1771054442152.jpg,shoes,1500,True
data\products\shoes_32_1771054442265.jpg,shoes,1750,False
data\products\shoes_33_1771054442511.jpg,shoes,2000,True
data\products\shoes_34_1771054442429.jpg,shoes,2250,True
data\products\shoes_35_1771054442669.jpg,shoes,2500,True
data\products\shoes_36_1771054443069.jpg,shoes,2750,True
data\products\shoes_37_1771054443420.jpg,shoes,3000,False
data\products\shoes_38_1771054443365.jpg,shoes,3250,True
data\products\shoes_39_1771054443967.jpg,shoes,3500,True
data\products\shoes_3_1771054433428.jpg,shoes,3750,True
data\products\shoes_40_1771054443701.jpg,shoes,4000,True
data\products\shoes_41_1771054444340.jpg,shoes,4250,False
data\products\shoes_42_1771054444454.jpg,shoes,4500,True
data\products\shoes_43_1771054444458.jpg,shoes,4750,True
data\products\shoes_44_1771054444847.jpg,shoes,5000,True
data\products\shoes_45_1771054445114.jpg,shoes,5250,True
data\products\shoes_46_1771054445260.jpg,shoes,500,False
data\products\shoes_47_1771054445510.jpg,shoes,750,True
data\products\shoes_48_1771054445469.jpg,shoes,1000,True
data\products\shoes_49_1771054446211.jpg,shoes,1250,True
data\products\shoes_4_1771054433720.jpg,shoes,1500,True
data\products\shoes_5_1771054434722.jpg,shoes,1750,False
data\products\shoes_6_1771054434939.jpg,shoes,2000,True
data\products\shoes_7_1771054435635.jpg,shoes,2250,True
data\products\shoes_8_1771054434964.jpg,shoes,2500,True
data\products\shoes_9_1771054435680.jpg,shoes,2750,True
data\products\sunglasses_0_1771054487411.jpg,sunglasses,3000,False
data\products\sunglasses_10_1771054490331.jpg,sunglasses,3250,True
data\products\sunglasses_11_1771054490337.jpg,sunglasses,3500,True
data\products\sunglasses_12_1771054490570.jpg,sunglasses,3750,True
data\products\sunglasses_13_1771054490425.jpg,sunglasses,4000,True
data\products\sunglasses_14_1771054491176.jpg,sunglasses,4250,False
data\products\sunglasses_15_1771054491175.jpg,sunglasses,4500,True
data\products\sunglasses_16_1771054491283.jpg,sunglasses,4750,True
data\products\sunglasses_17_1771054491671.jpg,sunglasses,5000,True
data\products\sunglasses_18_1771054491977.jpg,sunglasses,5250,True
data\products\sunglasses_19_1771054492311.jpg,sunglasses,500,False
data\products\sunglasses_1_1771054487815.jpg,sunglasses,750,True
data\products\sunglasses_20_1771054492119.jpg,sunglasses,1000,True
data\products\sunglasses_21_1771054492596.jpg,sunglasses,1250,True
data\products\sunglasses_22_1771054493078.jpg,sunglasses,1500,True
data\products\sunglasses_23_1771054493348.jpg,sunglasses,1750,False
data\products\sunglasses_24_1771054493485.jpg,sunglasses,2000,True
data\products\sunglasses_25_1771054493710.jpg,sunglasses,2250,True
data\products\sunglasses_26_1771054493406.jpg,sunglasses,2500,True
data\products\sunglasses_27_1771054494305.jpg,sunglasses,2750,True
data\products\sunglasses_28_1771054494705.jpg,sunglasses,3000,False
data\products\sunglasses_29_1771054494538.jpg,sunglasses,3250,True
data\products\sunglasses_2_1771054487575.jpg,sunglasses,3500,True
data\products\sunglasses_30_1771054494573.jpg,sunglasses,3750,True
data\products\sunglasses_31_1771054494925.jpg,sunglasses,4000,True
data\products\sunglasses_32_1771054495493.jpg,sunglasses,4250,False
data\products\sunglasses_33_1771054496013.jpg,sunglasses,4500,True
data\products\sunglasses_34_1771054495705.jpg,sunglasses,4750,True
data\products\sunglasses_35_1771054495742.jpg,sunglasses,5000,True
data\products\sunglasses_36_1771054496030.jpg,sunglasses,5250,True
data\products\sunglasses_37_1771054496520.jpg,sunglasses,500,False
data\products\sunglasses_38_1771054497082.jpg,sunglasses,750,True
data\products\sunglasses_39_1771054496858.jpg,sunglasses,1000,True
data\products\sunglasses_3_1771054487830.jpg,sunglasses,1250,True
data\products\sunglasses_40_1771054497493.jpg,sunglasses,1500,True
data\products\sunglasses_41_1771054497359.jpg,sunglasses,1750,False
data\products\sunglasses_42_1771054497969.jpg,sunglasses,2000,True
data\products\sunglasses_43_1771054497848.jpg,sunglasses,2250,True
data\products\sunglasses_44_1771054498491.jpg,sunglasses,2500,True
data\products\sunglasses_45_1771054498792.jpg,sunglasses,2750,True
data\products\sunglasses_46_1771054498793.jpg,sunglasses,3000,False
data\products\sunglasses_47_1771054498849.jpg,sunglasses,3250,True
data\products\sunglasses_48_1771054499289.jpg,sunglasses,3500,True
data\products\sunglasses_49_1771054499874.jpg,sunglasses,3750,True
data\products\sunglasses_4_1771054488476.jpg,sunglasses,4000,True
data\products\sunglasses_5_1771054488850.jpg,sunglasses,4250,False
data\products\sunglasses_6_1771054488726.jpg,sunglasses,4500,True
data\products\sunglasses_7_1771054489135.jpg,sunglasses,4750,True
data\products\sunglasses_8_1771054488978.jpg,sunglasses,5000,True
data\products\sunglasses_9_1771054489512.jpg,sunglasses,5250,True
data\products\tshirt_0_1771054448836.jpg,tshirt,500,False
data\products\tshirt_10_1771054451139.jpg,tshirt,750,True
data\products\tshirt_11_1771054451089.jpg,tshirt,1000,True
data\products\tshirt_12_1771054451173.jpg,tshirt,1250,True
data\products\tshirt_13_1771054451078.jpg,tshirt,1500,True
data\products\tshirt_14_1771054451435.jpg,tshirt,1750,False
data\products\tshirt_15_1771054452060.jpg,tshirt,2000,True
data\products\tshirt_16_1771054452123.jpg,tshirt,2250,True
data\products\tshirt_17_1771054452205.jpg,tshirt,2500,True
data\products\tshirt_18_1771054452255.jpg,tshirt,2750,True
data\products\tshirt_19_1771054452365.jpg,tshirt,3000,False
data\products\tshirt_1_1771054449147.jpg,tshirt,3250,True
data\products\tshirt_20_1771054453447.jpg,tshirt,3500,True
data\products\tshirt_21_1771054453179.jpg,tshirt,3750,True
data\products\tshirt_22_1771054453517.jpg,tshirt,4000,True
data\products\tshirt_23_1771054453214.jpg,tshirt,4250,False
data\products\tshirt_24_1771054453435.jpg,tshirt,4500,True
data\products\tshirt_25_1771054454580.jpg,tshirt,4750,True
data\products\tshirt_26_1771054454033.jpg,tshirt,5000,True
data\products\tshirt_27_1771054454425.jpg,tshirt,5250,True
data\products\tshirt_28_1771054454817.jpg,tshirt,500,False
data\products\tshirt_29_1771054454650.jpg,tshirt,750,True
data\products\tshirt_2_1771054448590.jpg,tshirt,1000,True
data\products\tshirt_30_1771054455070.jpg,tshirt,1250,True
data\products\tshirt_31_1771054455428.jpg,tshirt,1500,True
data\products\tshirt_32_1771054455944.jpg,tshirt,1750,False
data\products\tshirt_33_1771054455621.jpg,tshirt,2000,True
data\products\tshirt_34_1771054455676.jpg,tshirt,2250,True
data\products\tshirt_35_1771054456022.jpg,tshirt,2500,True
data\products\tshirt_36_1771054456475.jpg,tshirt,2750,True
data\products\tshirt_37_1771054457008.jpg,tshirt,3000,False
data\products\tshirt_38_1771054456652.jpg,tshirt,3250,True
data\products\tshirt_39_1771054456981.jpg,tshirt,3500,True
data\products\tshirt_3_1771054448895.jpg,tshirt,3750,True
data\products\tshirt_40_1771054457069.jpg,tshirt,4000,True
data\products\tshirt_41_1771054457360.jpg,tshirt,4250,False
data\products\tshirt_42_1771054457643.jpg,tshirt,4500,True
data\products\tshirt_43_1771054457983.jpg,tshirt,4750,True
data\products\tshirt_44_1771054458039.jpg,tshirt,5000,True
data\products\tshirt_45_1771054457847.jpg,tshirt,5250,True
data\products\tshirt_46_1771054458477.jpg,tshirt,500,False
data\products\tshirt_47_1771054459097.jpg,tshirt,750,True
data\products\tshirt_48_1771054458748.jpg,tshirt,1000,True
data\products\tshirt_49_1771054459076.jpg,tshirt,1250,True
data\products\tshirt_4_1771054449251.jpg,tshirt,1500,True
data\products\tshirt_5_1771054449992.jpg,tshirt,1750,False
data\products\tshirt_6_1771054449825.jpg,tshirt,2000,True
data\products\tshirt_7_1771054449775.jpg,tshirt,2250,True
data\products\tshirt_8_1771054450362.jpg,tshirt,2500,True
data\products\tshirt_9_1771054450072.jpg,tshirt,2750,True
data\products\watch_0_1771054461009.jpg,watch,3000,False
data\products\watch_10_1771054463752.jpg,watch,3250,True
data\products\watch_11_1771054464100.jpg,watch,3500,True
data\products\watch_12_1771054464195.jpg,watch,3750,True
data\products\watch_13_1771054464351.jpg,watch,4000,True
data\products\watch_14_1771054464418.jpg,watch,4250,False
data\products\watch_15_1771054464607.jpg,watch,4500,True
data\products\watch_16_1771054465429.jpg,watch,4750,True
data\products\watch_17_1771054465282.jpg,watch,5000,True
data\products\watch_18_1771054465258.jpg,watch,5250,True
data\products\watch_19_1771054465302.jpg,watch,500,False
data\products\watch_1_1771054461885.jpg,watch,750,True
data\products\watch_20_1771054465647.jpg,watch,1000,True
data\products\watch_21_1771054466612.jpg,watch,1250,True
data\products\watch_22_1771054466655.jpg,watch,1500,True
data\products\watch_23_1771054466317.jpg,watch,1750,False
data\products\watch_24_1771054466289.jpg,watch,2000,True
data\products\watch_25_1771054466794.jpg,watch,2250,True
data\products\watch_26_1771054467612.jpg,watch,2500,True
data\products\watch_27_1771054467440.jpg,watch,2750,True
data\products\watch_28_1771054467968.jpg,watch,3000,False
data\products\watch_29_1771054467673.jpg,watch,3250,True
data\products\watch_2_1771054461845.jpg,watch,3500,True
data\products\watch_30_1771054468170.jpg,watch,3750,True
data\products\watch_31_1771054468334.jpg,watch,4000,True
data\products\watch_32_1771054468781.jpg,watch,4250,False
data\products\watch_33_1771054468640.jpg,watch,4500,True
data\products\watch_34_1771054468843.jpg,watch,4750,True
